# Balanced high-frequency opening positions from the Lichess Elite November 2025 corpus.
# Source URL: https://database.nikonoel.fr/lichess_elite_2025-11.zip
# Source archive SHA-256: 1ffa577aa0a1352fa04c9a890a6706049a3a79edc52810b136758d1e2a1a2eab
# Source PGN SHA-256: 6a6947c6b92c74f54a186fdc5f4e28354d92153ea24a45b54dee083fcc947594
# Selection: both ratings >= 2500, 8 plies, equal material, not in check, unique canonical positions, |SF eval| <= 50 cp, max 4 per ECO.
# Stockfish: Stockfish 18; nodes=250000; threads=1; hash_mib=128; sha256=7a44d64fd877ee888a5160349827563444e1935ca6c1095d0f8e0859d57101c7
# Columns: opening_id, UCI move sequence, expected final FEN
elite-2025-11-001	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6	rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5
elite-2025-11-002	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6	r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5
elite-2025-11-003	e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5	r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5
elite-2025-11-004	d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4	rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5
elite-2025-11-005	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7	rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5
elite-2025-11-006	d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6	rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5
elite-2025-11-007	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5	rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5
elite-2025-11-008	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6	r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5
elite-2025-11-009	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5	r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5
elite-2025-11-010	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6	r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5
elite-2025-11-011	e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6	r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5
elite-2025-11-012	d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7	rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5
elite-2025-11-013	e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6	rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5
elite-2025-11-014	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8	rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w KQ - 1 5
elite-2025-11-015	g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8	rnbq1rk1/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQ1RK1 w - - 4 5
elite-2025-11-016	e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6	rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5
elite-2025-11-017	e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6	r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5
elite-2025-11-018	d2d4 d7d5 g1f3 g8f6 c1f4 c7c5 e2e3 b8c6	r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5
elite-2025-11-019	d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 f8e7	rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5
elite-2025-11-020	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7	rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5
